,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
0,"[72, 60, 65, 53]",29.234064,16.492154,0.168316,0.322785,1280.659437,1137.359412
1,"[46, 67, 58]",23.037413,18.094334,0.206044,0.143709,1856.514717,1934.360256
2,"[63, 47, 57]",38.706737,9.348321,0.045513,0.056636,1872.876888,1646.137202
3,"[72, 60, 70, 45]",20.867145,18.627087,0.551427,0.343183,1638.284281,1246.473058
4,"[72, 60]",38.869596,6.730196,0.010789,0.006324,1638.399159,1246.635614
5,"[72, 63, 48]",30.625289,17.176183,0.278311,0.080045,420.927758,1167.172059
6,"[76, 49]",23.472084,17.888910,0.088430,0.043412,406.676009,907.372121
7,"[79, 66, 46]",29.696136,9.145537,0.105259,0.122902,1468.321792,252.634720
8,"[55, 66, 79, 46]",32.794292,6.937545,0.100417,0.076470,1654.718646,1232.051671
9,"[72, 68]",36.337007,3.268912,0.009687,0.032789,1746.026834,1774.875467
10,"[55, 66, 79]",36.281040,3.476528,0.051726,0.069850,1654.770534,1232.078680
11,"[72, 65, 60]",21.788105,12.800149,0.196431,0.357401,1642.021242,1209.568900
12,"[76, 71, 45]",21.465472,11.131731,0.175604,0.130580,397.402191,1178.751879
13,"[61, 48]",22.796744,14.085840,0.015950,0.038642,894.612890,1261.257164
14,"[78, 63]",31.705048,4.910250,0.097223,0.038323,743.914753,1359.767161
15,"[66, 77, 53]",26.468733,10.159884,0.081484,0.057248,1050.201383,761.570159
16,"[60, 65, 51, 74]",23.138775,10.898316,0.252235,0.119030,204.931162,980.748657
17,"[71, 61, 53, 72]",20.838200,10.611584,0.033221,0.217057,1624.234106,1132.956210
18,"[76, 64]",32.344838,2.639906,0.055839,0.137427,721.085105,1999.289147
19,"[63, 57, 53]",20.554416,12.560381,0.173615,0.230955,1493.665512,1926.144186
20,"[58, 69, 46]",26.219319,5.389829,0.104762,0.018120,456.825348,1528.996342
21,"[47, 57, 63, 79]",18.117905,11.383493,0.060440,0.247903,1325.232978,301.462174
22,"[58, 74, 46, 64]",19.851838,12.271461,0.238593,0.239984,1016.093441,794.817759
